anexo,codOrcamento,condicao,email,fone,gabinete,idParlamentar,ideCadastro,matricula,nome,nomeParlamentar,partido,sexo,uf,urlFoto
4,3695,Titular,dep.josinunes@camara.gov.br,3215-5950,950,5830528,114941,62,JOSINIANE BRAGA NUNES,JOSI NUNES,PMDB,feminino,TO,http://www.camara.gov.br/internet/deputado/bandep/114941.jpg
4,2399,Titular,dep.alfredokaefer@camara.gov.br,3215-5818,818,5830645,141454,451,JACOB ALFREDO STOFFELS KAEFER,ALFREDO KAEFER,PSDB,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/141454.jpg
4,2538,Titular,dep.ricardotripoli@camara.gov.br,3215-5241,241,5830307,141472,384,JOSÉ RICARDO ALVARENGA TRIPOLI,RICARDO TRIPOLI,PSDB,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/141472.jpg
4,2448,Titular,dep.felipemaia@camara.gov.br,3215-5528,528,5830330,141429,120,FELIPE CATALÃO MAIA,FELIPE MAIA,DEM,masculino,RN,http://www.camara.gov.br/internet/deputado/bandep/141429.jpg
4,2844,Titular,dep.leopoldomeyer@camara.gov.br,3215-5233,233,5830499,160663,456,LEOPOLDO COSTA MEYER,LEOPOLDO MEYER,PSB,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/160663.jpg
4,3726,Titular,dep.marinaldorosendo@camara.gov.br,3215-5827,827,5830476,178919,152,MARINALDO ROSENDO DE ALBUQUERQUE,MARINALDO ROSENDO,PSB,masculino,PE,http://www.camara.gov.br/internet/deputado/bandep/178919.jpg
4,1818,Titular,dep.nelsonmarquezelli@camara.gov.br,3215-5920,920,5830353,73553,381,NELSON MARQUEZELLI,NELSON MARQUEZELLI,PTB,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/73553.jpg
4,2756,Titular,dep.domingossavio@camara.gov.br,3215-5345,345,5830599,160758,233,DOMINGOS SÁVIO CAMPOS RESENDE,DOMINGOS SÁVIO,PSDB,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/160758.jpg
4,3743,Titular,dep.raquelmuniz@camara.gov.br,3215-5444,444,5830376,178998,258,TANIA RAQUEL DE QUEIROZ MUNIZ,RAQUEL MUNIZ,PSC,feminino,MG,http://www.camara.gov.br/internet/deputado/bandep/178998.jpg
3,3101,Titular,dep.fabiogarcia@camara.gov.br,3215-5278,278,5830459,178905,403,FABIO PAULINO GARCIA,FABIO GARCIA,PSB,masculino,MT,http://www.camara.gov.br/internet/deputado/bandep/178905.jpg
4,3775,Titular,dep.vicentinhojunior@camara.gov.br,3215-5817,817,5830708,137070,66,VICENTE ALVES DE OLIVEIRA JUNIOR,VICENTINHO JÚNIOR,PSB,masculino,TO,http://www.camara.gov.br/internet/deputado/bandep/137070.jpg
4,3046,Titular,dep.andrefufuca@camara.gov.br,3215-5945,945,5830768,178882,72,ANDRE LUIS CARVALHO RIBEIRO,ANDRÉ FUFUCA,PEN,masculino,MA,http://www.camara.gov.br/internet/deputado/bandep/178882.jpg
4,3703,Titular,dep.leodebrito@camara.gov.br,3215-5619,619,5830505,178825,57,LEONARDO CUNHA DE BRITO,LEO DE BRITO,PT,masculino,AC,http://www.camara.gov.br/internet/deputado/bandep/178825.jpg
4,2717,Titular,dep.andersonferreira@camara.gov.br,3215-5450,450,5830422,160551,142,ANDERSON FERREIRA RODRIGUES,ANDERSON FERREIRA,PR,masculino,PE,http://www.camara.gov.br/internet/deputado/bandep/160551.jpg
4,2711,Titular,dep.aguinaldoribeiro@camara.gov.br,3215-5735,735,5830568,160527,129,AGUINALDO VELLOSO BORGES RIBEIRO,AGUINALDO RIBEIRO,PP,masculino,PB,http://www.camara.gov.br/internet/deputado/bandep/160527.jpg
4,3095,Titular,dep.evandroroman@camara.gov.br,3215-5303,303,5830516,178930,452,EVANDRO ROGERIO ROMAN,EVANDRO ROMAN,PSD,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/178930.jpg
4,2570,Titular,dep.deciolima@camara.gov.br,3215-5218,218,5830313,141413,475,DÉCIO NERY DE LIMA,DÉCIO LIMA,PT,masculino,SC,http://www.camara.gov.br/internet/deputado/bandep/141413.jpg
4,2871,Titular,dep.afonsoflorence@camara.gov.br,3215-5305,305,5830319,160508,182,AFONSO BANDEIRA FLORENCE,AFONSO FLORENCE,PT,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/160508.jpg
4,3756,Titular,dep.rosangelagomes@camara.gov.br,3215-5438,438,5830662,178945,325,ROSANGELA DE SOUZA GOMES,ROSANGELA GOMES,PRB,feminino,RJ,http://www.camara.gov.br/internet/deputado/bandep/178945.jpg
4,2569,Titular,dep.celsomaldaner@camara.gov.br,3215-5311,311,5830413,141405,472,CELSO MALDANER,CELSO MALDANER,PMDB,masculino,SC,http://www.camara.gov.br/internet/deputado/bandep/141405.jpg
4,3446,Titular,dep.marcusvicente@camara.gov.br,3215-5360,360,5830562,74235,281,MARCUS ANTÔNIO VICENTE,MARCUS VICENTE,PP,masculino,ES,http://www.camara.gov.br/internet/deputado/bandep/74235.jpg
4,3034,Titular,dep.adelsonbarreto@camara.gov.br,3215-5937,937,5830370,178968,175,ADELSON BARRETO DOS SANTOS,ADELSON BARRETO,PTB,masculino,SE,http://www.camara.gov.br/internet/deputado/bandep/178968.jpg
4,2517,Titular,dep.viniciuscarvalho@camara.gov.br,3215-5356,356,5830631,141555,397,VINICIUS RAPOZO DE CARVALHO,VINICIUS CARVALHO,PRB,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/141555.jpg
4,2738,Titular,dep.antonioimbassahy@camara.gov.br,3215-5810,810,5830702,160530,191,ANTONIO JOSÉ IMBASSAHY DA SILVA,ANTONIO IMBASSAHY,PSDB,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/160530.jpg
3,3257,Titular,dep.giuseppevecci@camara.gov.br,3215-5383,383,5830559,178878,429,GIUSEPPE VECCI,GIUSEPPE VECCI,PSDB,masculino,GO,http://www.camara.gov.br/internet/deputado/bandep/178878.jpg
4,2784,Titular,dep.jeanwyllys@camara.gov.br,3215-5646,646,5830725,160672,307,JEAN WYLLYS DE MATOS SANTOS,JEAN WYLLYS,PSOL,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/160672.jpg
4,2470,Titular,dep.robertobritto@camara.gov.br,3215-5733,733,5830608,141529,211,ROBERTO PEREIRA DE BRITTO,ROBERTO BRITTO,PP,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/141529.jpg
4,2789,Titular,dep.sergiozveiter@camara.gov.br,3215-5437,437,5830774,160612,320,SERGIO ZVEITER,SERGIO ZVEITER,PSD,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/160612.jpg
4,3779,Titular,dep.walteralves@camara.gov.br,3215-5435,435,5830419,178952,125,WALTER PEREIRA ALVES,WALTER ALVES,PMDB,masculino,RN,http://www.camara.gov.br/internet/deputado/bandep/178952.jpg
3,3042,Titular,dep.altineucortes@camara.gov.br,3215-5578,578,5830582,178937,286,ALTINEU CÔRTES FREITAS COUTINHO,ALTINEU CÔRTES,PR,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/178937.jpg
4,3691,Titular,dep.joaodaniel@camara.gov.br,3215-5605,605,5830751,178970,179,JOAO SOMARIVA DANIEL,JOÃO DANIEL,PT,masculino,SE,http://www.camara.gov.br/internet/deputado/bandep/178970.jpg
4,3693,Titular,dep.jonymarcos@camara.gov.br,3215-5807,807,5830396,178971,181,JONY MARCOS DE SOUZA ARAUJO,JONY MARCOS,PRB,masculino,SE,http://www.camara.gov.br/internet/deputado/bandep/178971.jpg
3,2867,Titular,dep.marcon@camara.gov.br,3215-5569,569,5830794,160535,507,DIONILSO MATEUS MARCON,MARCON,PT,masculino,RS,http://www.camara.gov.br/internet/deputado/bandep/160535.jpg
4,3176,Titular,dep.dilceusperafico@camara.gov.br,3215-5746,746,5830651,73768,444,DILCEU JOÃO SPERAFICO,DILCEU SPERAFICO,PP,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/73768.jpg
4,3097,Titular,dep.ezequielfonseca@camara.gov.br,3215-5658,658,5830745,178904,402,EZEQUIEL ANGELO FONSECA,EZEQUIEL FONSECA,PP,masculino,MT,http://www.camara.gov.br/internet/deputado/bandep/178904.jpg
4,1970,Titular,dep.takayama@camara.gov.br,3215-5910,910,5830674,74385,469,HIDEKAZU TAKAYAMA,TAKAYAMA,PSC,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/74385.jpg
4,2519,Titular,dep.antoniobulhoes@camara.gov.br,3215-5327,327,5830625,141383,333,ANTONIO CARLOS MARTINS DE BULHÕES,ANTONIO BULHÕES,PRB,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/141383.jpg
4,2505,Titular,dep.indiodacosta@camara.gov.br,3215-5509,509,5830731,141389,315,ANTONIO PEDRO DE SIQUEIRA INDIO DA COSTA,INDIO DA COSTA,PSD,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/141389.jpg
4,1997,Titular,dep.vicentinho@camara.gov.br,3215-5740,740,5830496,74283,396,VICENTE PAULO DA SILVA,VICENTINHO,PT,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/74283.jpg
4,1479,Titular,dep.augustocarvalho@camara.gov.br,3215-5215,215,5830433,73655,411,AUGUSTO SILVEIRA DE CARVALHO,AUGUSTO CARVALHO,SD,masculino,DF,http://www.camara.gov.br/internet/deputado/bandep/73655.jpg
3,3721,Titular,dep.marcosabrao@camara.gov.br,3215-5375,375,5830445,178880,432,MARCOS ABRAO RORIZ SOARES DE CARVALHO,MARCOS ABRÃO,PPS,masculino,GO,http://www.camara.gov.br/internet/deputado/bandep/178880.jpg
4,2676,Titular,dep.viniciusgurgel@camara.gov.br,3215-5852,852,5830482,160591,16,VINICIUS DE AZEVEDO GURGEL,VINICIUS GURGEL,PR,masculino,AP,http://www.camara.gov.br/internet/deputado/bandep/160591.jpg
4,3061,Titular,dep.cacaleao@camara.gov.br,3215-5320,320,5830296,93083,193,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,CACÁ LEÃO,PP,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/93083.jpg
4,3235,Titular,dep.geovaniadesa@camara.gov.br,3215-5606,606,5830539,178966,482,GEOVANIA DE SA RODRIGUES,GEOVANIA DE SÁ,PSDB,feminino,SC,http://www.camara.gov.br/internet/deputado/bandep/178966.jpg
3,2429,Titular,dep.lazarobotelho@camara.gov.br,3215-5478,478,5830290,141480,63,LÁZARO BOTELHO MARTINS,LÁZARO BOTELHO,PP,masculino,TO,http://www.camara.gov.br/internet/deputado/bandep/141480.jpg
4,2739,Titular,dep.arthuroliveiramaia@camara.gov.br,3215-5830,830,5830788,160600,192,ARTHUR DE OLIVEIRA MAIA DA SILVA,ARTHUR OLIVEIRA MAIA,SD,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/160600.jpg
4,3762,Titular,dep.sergiovidigal@camara.gov.br,3215-5812,812,5830682,178874,283,ANTONIO SERGIO ALVES VIDIGAL,SERGIO VIDIGAL,PDT,masculino,ES,http://www.camara.gov.br/internet/deputado/bandep/178874.jpg
4,3780,Titular,dep.rocha@camara.gov.br,3215-5607,607,5830688,178840,59,WHERLES FERNANDES DA ROCHA,ROCHA,PSDB,masculino,AC,http://www.camara.gov.br/internet/deputado/bandep/178840.jpg
4,1508,Titular,dep.leonardopicciani@camara.gov.br,3215-5302,302,5830339,74254,312,LEONARDO CARNEIRO MONTEIRO PICCIANI,LEONARDO PICCIANI,PMDB,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/74254.jpg
4,3186,Titular,dep.eduardobarbosa@camara.gov.br,3215-1540,540,5830588,74655,230,EDUARDO LUIZ BARROS BARBOSA,EDUARDO BARBOSA,PSDB,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/74655.jpg
4,1581,Titular,dep.jeffersoncampos@camara.gov.br,3215-5346,346,5830439,74273,349,JEFFERSON ALVES DE CAMPOS,JEFFERSON CAMPOS,PSD,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/74273.jpg
4,2831,Titular,dep.ronaldofonseca@camara.gov.br,3215-5223,223,5830488,160637,414,RONALDO FONSECA DE SOUZA,RONALDO FONSECA,PROS,masculino,DF,http://www.camara.gov.br/internet/deputado/bandep/160637.jpg
3,2700,Titular,dep.daniloforte@camara.gov.br,3215-5384,384,5830390,62881,95,FRANCISCO DANILO BASTOS FORTE,DANILO FORTE,PMDB,masculino,CE,http://www.camara.gov.br/internet/deputado/bandep/62881.jpg
4,3020,Titular,dep.afonsomotta@camara.gov.br,3215-5711,711,5830619,178835,490,AFONSO ANTUNES DA MOTTA,AFONSO MOTTA,PDT,masculino,RS,http://www.camara.gov.br/internet/deputado/bandep/178835.jpg
4,2751,Titular,dep.waldenorpereira@camara.gov.br,3215-5954,954,5830548,160569,219,WALDENOR ALVES PEREIRA FILHO,WALDENOR PEREIRA,PT,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/160569.jpg
4,1619,Titular,dep.atilalins@camara.gov.br,3215-5730,730,5830571,74090,38,ÁTILA SIDNEY LINS ALBUQUERQUE,ÁTILA LINS,PSD,masculino,AM,http://www.camara.gov.br/internet/deputado/bandep/74090.jpg
4,3745,Titular,dep.remidiomonai@camara.gov.br,3215-5641,641,5830333,178960,7,REMIDIO MONAI MONTESSI,REMÍDIO MONAI,PR,masculino,RR,http://www.camara.gov.br/internet/deputado/bandep/178960.jpg
4,2797,Titular,dep.brunafurlan@camara.gov.br,3215-5836,836,5830665,160589,335,BRUNA DIAS FURLAN,BRUNA FURLAN,PSDB,feminino,SP,http://www.camara.gov.br/internet/deputado/bandep/160589.jpg
4,2923,Titular,dep.fernandojordao@camara.gov.br,3215-5626,626,5830642,163831,310,FERNANDO ANTÔNIO CECILIANO JORDÃO,FERNANDO JORDÃO,PMDB,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/163831.jpg
3,3755,Titular,dep.roneynemer@camara.gov.br,3215-5572,572,5830310,178870,415,RONEY TANIOS NEMER,RONEY NEMER,PMDB,masculino,DF,http://www.camara.gov.br/internet/deputado/bandep/178870.jpg
4,1664,Titular,dep.moronitorgan@camara.gov.br,3215-5445,445,5830717,74457,105,MORONI BING TORGAN,MORONI TORGAN,DEM,masculino,CE,http://www.camara.gov.br/internet/deputado/bandep/74457.jpg
4,3066,Titular,dep.carlosandrade@camara.gov.br,3215-5758,758,5830456,178958,3,CARLOS AUGUSTO ANDRADE SILVA,CARLOS ANDRADE,PHS,masculino,RR,http://www.camara.gov.br/internet/deputado/bandep/178958.jpg
4,2812,Titular,dep.pr.marcofeliciano@camara.gov.br,3215-5254,254,5830379,160601,379,MARCO ANTÔNIO FELICIANO,PR. MARCO FELICIANO,PSC,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/160601.jpg
3,3071,Titular,dep.celsopansera@camara.gov.br,3215-5475,475,5830473,72912,292,CELSO PANSERA,CELSO PANSERA,PMDB,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/72912.jpg
4,1246,Titular,dep.juliocesar@camara.gov.br,3215-5944,944,5830694,74317,114,JÚLIO CÉSAR DE CARVALHO LIMA,JÚLIO CESAR,PSD,masculino,PI,http://www.camara.gov.br/internet/deputado/bandep/74317.jpg
4,2815,Titular,dep.ricardoizar@camara.gov.br,3215-5634,634,5830479,160655,383,RICARDO IZAR JUNIOR,RICARDO IZAR,PSD,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/160655.jpg
4,3767,Titular,dep.tadeualencar@camara.gov.br,3215-5820,820,5830425,178922,161,FRANCISCO TADEU BARBOSA DE ALENCAR,TADEU ALENCAR,PSB,masculino,PE,http://www.camara.gov.br/internet/deputado/bandep/178922.jpg
4,3692,Titular,dep.joaquimpassarinho@camara.gov.br,3215-5339,339,5830502,178910,33,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,JOAQUIM PASSARINHO,PSD,masculino,PA,http://www.camara.gov.br/internet/deputado/bandep/178910.jpg
4,1403,Titular,dep.leonardomonteiro@camara.gov.br,3215-5922,922,5830402,74156,253,JOSÉ LEONARDO COSTA MONTEIRO,LEONARDO MONTEIRO,PT,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/74156.jpg
4,2550,Titular,dep.valtenirpereira@camara.gov.br,3215-5913,913,5830648,141552,404,VALTENIR LUIZ PEREIRA,VALTENIR PEREIRA,PROS,masculino,MT,http://www.camara.gov.br/internet/deputado/bandep/141552.jpg
4,2690,Titular,dep.cesarhalum@camara.gov.br,3215-5422,422,5830525,160576,64,CESAR HANNA HALUM,CÉSAR HALUM,PRB,masculino,TO,http://www.camara.gov.br/internet/deputado/bandep/160576.jpg
4,3043,Titular,dep.aluisiomendes@camara.gov.br,3215-5931,931,5830565,178881,68,ALUISIO GUIMARAES MENDES FILHO,ALUISIO MENDES,PSDC,masculino,MA,http://www.camara.gov.br/internet/deputado/bandep/178881.jpg
4,1478,Titular,dep.robertobalestra@camara.gov.br,3215-5219,219,5830602,73674,427,ROBERTO EGÍDIO BALESTRA,ROBERTO BALESTRA,PP,masculino,GO,http://www.camara.gov.br/internet/deputado/bandep/73674.jpg
4,2841,Titular,dep.edmararruda@camara.gov.br,3215-5962,962,5830508,160578,446,EDMAR DE SOUZA ARRUDA,EDMAR ARRUDA,PSC,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/160578.jpg
4,1124,Titular,dep.mariahelena@camara.gov.br,3215-5410,410,5830765,64960,6,MARIA HELENA VERONESE RODRIGUES,MARIA HELENA,PSB,feminino,RR,http://www.camara.gov.br/internet/deputado/bandep/64960.jpg
4,2449,Titular,dep.efraimfilho@camara.gov.br,3215-5744,744,5830519,141422,128,EFRAIM DE ARAÚJO MORAIS FILHO,EFRAIM FILHO,DEM,masculino,PB,http://www.camara.gov.br/internet/deputado/bandep/141422.jpg
4,3079,Titular,dep.daminapereira@camara.gov.br,3215-5434,434,5830705,178892,227,DAMINA DE CARVALHO PEREIRA,DÂMINA PEREIRA,PMN,feminino,MG,http://www.camara.gov.br/internet/deputado/bandep/178892.jpg
4,1527,Titular,dep.carlossampaio@camara.gov.br,3215-5207,207,5830711,74262,338,CARLOS HENRIQUE FOCESI SAMPAIO,CARLOS SAMPAIO,PSDB,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/74262.jpg
4,1955,Titular,dep.joaocampos@camara.gov.br,3215-5315,315,5830462,74366,418,JOÃO CAMPOS DE ARAÚJO,JOÃO CAMPOS,PSDB,masculino,GO,http://www.camara.gov.br/internet/deputado/bandep/74366.jpg
4,2608,Titular,dep.laerciooliveira@camara.gov.br,3215-5629,629,5830362,151208,176,LAERCIO JOSÉ DE OLIVEIRA,LAERCIO OLIVEIRA,SD,masculino,SE,http://www.camara.gov.br/internet/deputado/bandep/151208.jpg
4,3058,Titular,dep.cabodaciolo@camara.gov.br,3215-5803,803,5830757,178938,289,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,S.PART.,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/178938.jpg
4,3477,Titular,dep.jutahyjunior@camara.gov.br,3215-5407,407,5830416,74570,206,JUTAHY MAGALHÃES JÚNIOR,JUTAHY JUNIOR,PSDB,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/74570.jpg
4,1867,Titular,dep.luizcarloshauly@camara.gov.br,3215-5220,220,5830316,73778,454,LUIZ CARLOS JORGE HAULY,LUIZ CARLOS HAULY,PSDB,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/73778.jpg
4,2760,Titular,dep.gabrielguimaraes@camara.gov.br,3215-5821,821,5830611,129037,244,GABRIEL GUIMARÃES DE ANDRADE,GABRIEL GUIMARÃES,PT,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/129037.jpg
4,3339,Titular,dep.helioleite@camara.gov.br,3215-5403,403,5830299,178909,32,HELIO LEITE DA SILVA,HÉLIO LEITE,DEM,masculino,PA,http://www.camara.gov.br/internet/deputado/bandep/178909.jpg
4,3074,Titular,dep.ciceroalmeida@camara.gov.br,3215-5760,760,5830797,178841,165,JOSÉ CÍCERO SOARES DE ALMEIDA,CÍCERO ALMEIDA,PRTB,masculino,AL,http://www.camara.gov.br/internet/deputado/bandep/178841.jpg
3,3051,Titular,dep.bacelar@camara.gov.br,3215-5381,381,5830536,69871,184,JOAO CARLOS BACELAR BATISTA,BACELAR,PTN,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/69871.jpg
4,2778,Titular,dep.aureo@camara.gov.br,3215-5212,212,5830465,160512,290,AUREO LIDIO MOREIRA RIBEIRO,AUREO,SD,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/160512.jpg
4,2975,Titular,dep.margaridasalomao@camara.gov.br,3215-5236,236,5830442,171619,237,MARIA MARGARIDA MARTINS SALOMÃO,MARGARIDA SALOMÃO,PT,feminino,MG,http://www.camara.gov.br/internet/deputado/bandep/171619.jpg
3,2435,Titular,dep.waldirmaranhao@camara.gov.br,3215-5575,575,5830393,141558,84,WALDIR MARANHÃO CARDOSO,WALDIR MARANHÃO,PP,masculino,MA,http://www.camara.gov.br/internet/deputado/bandep/141558.jpg
4,3711,Titular,dep.macedo@camara.gov.br,3215-5214,214,5830605,178867,104,JOSE MARIA MACEDO JUNIOR,MACEDO,PSL,masculino,CE,http://www.camara.gov.br/internet/deputado/bandep/178867.jpg
3,3398,Titular,dep.hissaabrahao@camara.gov.br,3215-5272,272,5830728,178849,42,HISSA NAGIB ABRAHAO FILHO,HISSA ABRAHÃO,PPS,masculino,AM,http://www.camara.gov.br/internet/deputado/bandep/178849.jpg
4,3038,Titular,dep.alexandrebaldy@camara.gov.br,3215-5441,441,5830373,178875,416,ALEXANDRE BALDY DE SANT'ANNA BRAGA,ALEXANDRE BALDY,PSDB,masculino,GO,http://www.camara.gov.br/internet/deputado/bandep/178875.jpg
3,3035,Titular,dep.adiltonsachetti@camara.gov.br,3215-5374,374,5830628,178903,401,ADILTON DOMINGOS SACHETTI,ADILTON SACHETTI,PSB,masculino,MT,http://www.camara.gov.br/internet/deputado/bandep/178903.jpg
4,2927,Titular,dep.delegadowaldir@camara.gov.br,3215-5645,645,5830350,164359,421,WALDIR SOARES DE OLIVEIRA,DELEGADO WALDIR,PSDB,masculino,GO,http://www.camara.gov.br/internet/deputado/bandep/164359.jpg
4,3080,Titular,dep.danielcoelho@camara.gov.br,3215-5813,813,5830748,178916,144,DANIEL PIRES COELHO,DANIEL COELHO,PSDB,masculino,PE,http://www.camara.gov.br/internet/deputado/bandep/178916.jpg
4,2637,Titular,dep.alfredonascimento@camara.gov.br,3215-5401,401,5830771,178846,36,ALFREDO PEREIRA DO NASCIMENTO,ALFREDO NASCIMENTO,PR,masculino,AM,http://www.camara.gov.br/internet/deputado/bandep/178846.jpg
4,2547,Titular,dep.carlosbezerra@camara.gov.br,3215-5815,815,5830791,141401,400,CARLOS GOMES BEZERRA,CARLOS BEZERRA,PMDB,masculino,MT,http://www.camara.gov.br/internet/deputado/bandep/141401.jpg
4,3650,Titular,dep.osmarserraglio@camara.gov.br,3215-5845,845,5830293,73463,463,OSMAR JOSÉ SERRAGLIO,OSMAR SERRAGLIO,PMDB,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/73463.jpg
4,2384,Titular,dep.mauromariani@camara.gov.br,3215-5925,925,5830542,141507,480,MAURO MARIANI,MAURO MARIANI,PMDB,masculino,SC,http://www.camara.gov.br/internet/deputado/bandep/141507.jpg
3,3040,Titular,dep.alexandrevalle@camara.gov.br,3215-5587,587,5830436,178936,285,ALEXANDRE VALLE CARDOSO,ALEXANDRE VALLE,PRP,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/178936.jpg
4,2170,Titular,dep.dagoberto@camara.gov.br,3215-5654,654,5830399,141411,434,DAGOBERTO NOGUEIRA FILHO,DAGOBERTO,PDT,masculino,MS,http://www.camara.gov.br/internet/deputado/bandep/141411.jpg
4,3037,Titular,dep.alexmanente@camara.gov.br,3215-5245,245,5830591,178972,331,ALEX SPINELLI MANENTE,ALEX MANENTE,PPS,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/178972.jpg
4,1718,Titular,dep.josecarlosaleluia@camara.gov.br,3215-5854,854,5830579,74553,207,JOSÉ CARLOS ALELUIA COSTA,JOSÉ CARLOS ALELUIA,DEM,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/74553.jpg
