id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer,Prosseguimento da 2ª denúncia contra Temer
180545,Osmar Bertoldi,dem,PR,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não,não votou,não,não votou,sim,sim,não votou,sim,não votou,não votou,não votou,não votou,não,não
74095,Pauderney Avelino,dem,AM,não votou,não,abstenção,sim,sim,sim,não votou,sim,sim,sim,não,sim,não,não,sim,sim,não votou,sim,não votou,sim,sim,sim,não,não
178860,Paulo Azi,dem,BA,sim,não,abstenção,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,não,não
160639,Professora Dorinha Seabra Rezende,dem,TO,sim,sim,sim,não,sim,não,sim,sim,não,não,não,sim,não,sim,não,não,sim,sim,não votou,sim,sim,sim,não,não
74693,Rodrigo Maia,dem,RJ,sim,não,abstenção,sim,sim,sim,sim,art. 17,sim,sim,sim,sim,sim,não,sim,art. 17,não votou,sim,sim,sim,sim,sim,não votou,não votou
178947,Sóstenes Cavalcante,dem,RJ,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,não,-,não,sim,sim,sim,sim,sim,sim,sim
195866,Vaidon Oliveira,pros,CE,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,não,não
74057,Alice Portugal,pcdob,BA,não,não,sim,sim,não,não,não votou,não,não,não votou,não votou,sim,sim,não,não,não,sim,não,não,não,sim,não,sim,sim
160581,Assis Melo,pcdob,RS,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou
141440,Chico Lopes,pcdob,CE,não,não,sim,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,sim,sim
74060,Daniel Almeida,pcdob,BA,não,não,sim,sim,não,não,não,-,não,não,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,sim,sim
101309,Davidson Magalhães,pcdob,BA,não,não,sim,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,não votou,sim
74848,Jandira Feghali,pcdob,RJ,não,não,sim,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,sim,sim
141503,Jô Moraes,pcdob,MG,não,não,não votou,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não votou,não,não votou,não,sim,sim
160628,Luciana Santos,pcdob,PE,não,não,sim,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não votou,não,sim,não,sim,sim
195278,Moisés Diniz,pcdob,AC,não votou,não votou,não votou,não votou,não votou,não votou,não votou,-,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não votou,sim,sim
178987,Orlando Silva,pcdob,SP,não,não,sim,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,sim,sim
160641,Professora Marcivania,pcdob,AP,não,não,sim,não,não,não,não,não,não,não,não votou,sim,não votou,sim,não,não,sim,não,sim,não,sim,não,sim,sim
178887,Rubens Pereira Júnior,pcdob,MA,não,não,não votou,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não,não,não votou,não,sim,sim
137853,Wadson Ribeiro,pcdob,MG,não,não,sim,sim,não,não,não,não votou,não,não,sim,sim,sim,não,não,não votou,sim,não,não,não,sim,não votou,não votou,não votou
178835,Afonso Motta,pdt,RS,sim,sim,sim,não,não,não,sim,não,não,não,não,sim,não,sim,sim,não,sim,sim,não,não,sim,não,sim,sim
133439,André Figueiredo,pdt,CE,não votou,não votou,sim,não,não,não,sim,não,não,não,não,sim,não,não votou,sim,não,sim,não votou,não votou,não votou,sim,não votou,sim,sim
74103,Ariosto Holanda,pdt,CE,sim,não votou,não votou,não votou,não votou,não votou,não votou,-,não votou,não votou,não votou,não votou,não votou,não votou,não votou,-,não votou,não votou,não votou,não votou,não votou,não,sim,sim
74378,Assis do Couto,pdt,PR,sim,sim,sim,não,não,não,abstenção,não,não,não,sim,sim,não votou,sim,não,não,sim,não,não,não,sim,não,sim,sim
74474,Carlos Eduardo Cadoca,pdt,PE,não,não,sim,sim,não,não,não,sim,não,não,sim,sim,sim,não,sim,sim,sim,não,não,sim,não votou,não votou,não votou,não votou
141411,Dagoberto Nogueira,pdt,MS,sim,sim,sim,não,não,não,sim,não,não,não,não,sim,não,sim,sim,não,sim,sim,não,não,sim,não,sim,sim
74467,Damião Feliciano,pdt,PB,não,não votou,sim,não,não,não,sim,-,não,não,não,sim,não,não votou,não,não,sim,não,sim,não votou,sim,não,sim,sim
185500,Deoclides Macedo,pdt,MA,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou
191923,Flavio Nogueira,pdt,PI,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou
160598,Flávia Morais,pdt,GO,não votou,não votou,sim,não,não,não,sim,não,não,não,não,sim,não,não votou,sim,não,sim,sim,não votou,não votou,sim,sim,sim,sim
160666,Félix Mendonça Júnior,pdt,BA,sim,sim,sim,não,não,não,sim,não,não,não,não,sim,não,sim,sim,não,sim,sim,sim,não,sim,não,sim,sim
178849,Hissa Abrahão,pdt,AM,sim,não,sim,não,não,não,não votou,não,não,não,não votou,sim,não,não,sim,não,sim,sim,sim,sim,sim,sim,sim,não votou
141474,Julião Amin Castro,pdt,MA,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim
74299,Leônidas Cristino,pdt,CE,sim,sim,não,não,sim,não,sim,não,não,não,sim,sim,sim,sim,sim,não,sim,sim,sim,não,sim,não,sim,sim
74158,Mário Heringer,pdt,MG,sim,sim,sim,não votou,não votou,não votou,sim,não votou,não,não,não,não votou,não,sim,sim,não,sim,sim,não votou,não,sim,sim,não votou,não votou
73486,Pompeo de Mattos,pdt,RS,sim,não,sim,não,não,não,sim,não,não,não,não,sim,não,sim,não votou,não,sim,sim,não votou,não,sim,abstenção,sim,sim
178995,Roberto Góes,pdt,AP,não,sim,sim,não,sim,não,sim,-,não,não,não,não,não,sim,sim,-,sim,não,não,não,sim,não,não,não votou
178845,Ronaldo Lessa,pdt,AL,não,sim,sim,não,não votou,não votou,abstenção,não,não,não,não,não votou,não,sim,não votou,-,sim,não,não,sim,sim,não,sim,sim
191684,Rosângela Curado,pdt,MA,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou
178874,Sergio Vidigal,pdt,ES,sim,abstenção,sim,não,não,não,sim,não,não,não,não,sim,não,abstenção,sim,não,sim,não,não votou,abstenção,sim,sim,sim,sim
177282,Subtenente Gonzaga,pdt,MG,não,sim,sim,não,não,não,sim,não,não,sim,não,sim,não,sim,não,não,sim,não votou,não,não,sim,sim,sim,sim
167493,Weverton Rocha,pdt,MA,não votou,sim,sim,não,não,não,sim,não,não,não,não,sim,não,sim,sim,não,sim,não,não votou,não,sim,não,sim,sim
74439,Wolney Queiroz,pdt,PE,não,sim,não votou,não,não,não,sim,não,não,não,não,sim,não,não,não,não,sim,não,não votou,não,sim,não,sim,sim
99654,Erivelton Santana,patriotas,BA,não,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,-,não,sim,sim,não,sim,sim,não,não votou
178885,Junior Marreca,patriotas,MA,sim,sim,não votou,sim,sim,sim,não,sim,sim,sim,não,não votou,não votou,sim,sim,sim,sim,não votou,não votou,sim,não votou,não,não,não
160631,Walney Rocha,patriotas,RJ,sim,sim,não,sim,sim,sim,sim,não,sim,sim,não,sim,não,sim,sim,sim,não,sim,não,não,sim,não votou,não,não
178958,Carlos Andrade,phs,RR,não votou,não,não,sim,sim,sim,não votou,não,sim,sim,sim,não votou,não,sim,sim,-,sim,sim,sim,não,não votou,sim,sim,sim
178929,Diego Garcia,podemos,PR,não votou,não,não,sim,sim,não,sim,-,não,não,sim,sim,não,sim,não,-,sim,sim,sim,não,sim,sim,sim,sim
160643,Dr. Jorge Silva,solidaried,ES,não,sim,não,não,não,não,sim,não,não,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não,sim,sim,sim,sim
74558,Givaldo Carimbão,avante,AL,não votou,não,não,não,sim,sim,não votou,não,não,não,sim,sim,sim,sim,sim,não,sim,sim,não votou,não votou,sim,não,sim,sim
146788,Marcelo Aro,phs,MG,não votou,não,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,-,sim,não votou,não votou,não,sim,sim,não,não
76287,Marcelo Matos,psd,RJ,não,sim,sim,não,não,não,sim,sim,abstenção,sim,não,sim,não,sim,não,não,sim,não,não,não,sim,sim,sim,sim
160642,Pastor Eurico,patriotas,PE,não votou,sim,sim,sim,não,sim,sim,não,sim,sim,não,não,não,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim
160518,Weliton Prado,pros,MG,não,abstenção,abstenção,abstenção,abstenção,abstenção,sim,não,sim,sim,não,abstenção,não,abstenção,não,não,sim,não,sim,abstenção,abstenção,sim,sim,sim
160582,Alberto Filho,progressistas,MA,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,-,sim,sim,sim,não,sim,sim,não votou,não votou
160559,Alceu Moreira,mdb,RS,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,não,não,sim,sim,não,não
178833,Alexandre Serfiotis,psd,RJ,não,não,não votou,não,sim,sim,sim,sim,sim,sim,sim,sim,não,não,sim,-,não,não,sim,não,sim,sim,não votou,não
178937,Altineu Côrtes,pr,RJ,sim,sim,não votou,não,não votou,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,-,não votou,sim,sim,não,sim,sim,não,não
195143,André Amaral,pros,PB,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,não,não
74212,Aníbal Gomes,dem,CE,sim,não votou,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não votou,sim,sim,não votou,não votou,não votou,sim,não votou,não,não
178975,Baleia Rossi,mdb,SP,sim,sim,sim,sim,sim,não,não votou,sim,sim,sim,sim,sim,sim,não,sim,-,sim,sim,sim,sim,sim,sim,não,não
105112,Cabuçu Borges,mdb,AP,sim,sim,não votou,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,-,sim,sim,não votou,sim,não votou,sim,não,não
141401,Carlos Bezerra,mdb,MT,sim,sim,sim,não,sim,sim,não votou,sim,não,não,sim,sim,sim,sim,não votou,sim,sim,sim,sim,não,sim,sim,não,não
178900,Carlos Marun,mdb,MS,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,-,sim,sim,não,não,sim,sim,não,não
73568,Celso Jacob,mdb,RJ,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,abstenção,sim,sim,sim,não votou,sim,não votou,não,não
141405,Celso Maldaner,mdb,SC,sim,sim,sim,não,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,não,não
72912,Celso Pansera,pt,RJ,não votou,sim,sim,sim,sim,sim,não votou,não,não,não,sim,não,sim,não,sim,não,sim,não votou,não votou,sim,não votou,não,sim,sim
178841,Cícero Almeida,phs,AL,sim,sim,sim,sim,sim,não,sim,não,sim,sim,não,sim,não,sim,não votou,sim,sim,sim,sim,não,sim,sim,não,sim
144523,Daniel Vilela,mdb,GO,não,sim,não,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,não,não
73891,Darcísio Perondi,mdb,RS,sim,não,sim,não,sim,sim,não,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não,não
178994,Dulce Miranda,mdb,TO,sim,sim,sim,sim,sim,sim,sim,-,não,sim,sim,sim,sim,sim,sim,-,sim,sim,sim,não,sim,sim,não,não
73447,Edinho Araújo,mdb,SP,não,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou
73793,Edinho Bez,mdb,SC,sim,não votou,não,sim,sim,abstenção,sim,não votou,sim,sim,abstenção,sim,sim,sim,sim,não votou,sim,sim,não,sim,sim,não votou,não votou,não votou
74173,Eduardo Cunha,mdb,RJ,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,não votou,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,não votou,art. 17,art. 17,art. 17,art. 17,art. 17,sim,não votou,não votou
74075,Elcione Barbalho,mdb,PA,sim,não votou,sim,sim,não,não,não votou,sim,não,não,sim,sim,sim,não votou,sim,-,não votou,não votou,sim,não votou,não votou,não,não,não
171623,Fabio Reis,mdb,SE,sim,sim,não,sim,sim,sim,sim,-,sim,sim,sim,sim,não,sim,sim,não,sim,sim,não votou,sim,sim,sim,não,não votou
163831,Fernando Jordão,mdb,RJ,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não votou,sim,sim,sim,não votou,não votou
141434,Flaviano Melo,mdb,AC,não votou,não,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,não votou,sim,não votou,não,não votou,sim,não,não
141427,Fábio Ramalho,mdb,MG,sim,sim,não votou,sim,sim,sim,não,sim,não,não,não votou,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,não,não
73772,Hermes Parcianello,mdb,PR,sim,sim,sim,sim,sim,sim,sim,-,sim,sim,não,sim,não,sim,não,não,não,sim,sim,sim,sim,sim,não,não
178884,Hildo Rocha,mdb,MA,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não,sim,sim,sim,sim,não,sim,não,sim,não,não
160674,Hugo Motta,prb,PB,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,-,sim,sim,não votou,não,não votou,sim,não,não
131943,Jarbas Vasconcelos,mdb,PE,não,não,não,não,sim,sim,sim,sim,não,não,não,sim,não,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim
194262,Jones Martins,mdb,RS,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não
114941,Josi Nunes,pros,TO,sim,sim,sim,sim,sim,sim,sim,sim,não,não,sim,sim,não,sim,sim,não,sim,sim,sim,não,sim,sim,não,não votou
131966,José Fogaça,mdb,RS,sim,não,não votou,não,não,não,sim,não,não,não,não,sim,não,não,sim,não,sim,não,sim,não,sim,sim,não,não
74079,José Priante,mdb,PA,não votou,não,sim,sim,não votou,não votou,sim,sim,não votou,não votou,sim,não votou,sim,sim,não votou,sim,sim,não votou,não votou,não,não votou,sim,não,não
160573,João Arruda,mdb,PR,não,não,não,sim,sim,não,não,sim,não,não,não votou,sim,não,sim,não,-,sim,sim,não votou,sim,sim,sim,não,não
112437,João Marcelo Souza,mdb,MA,sim,não votou,não votou,sim,sim,sim,abstenção,sim,não,não,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não votou,não votou,não,não,não
178839,Jéssica Sales,mdb,AC,sim,sim,não votou,não votou,não votou,não votou,sim,sim,sim,sim,sim,não votou,sim,sim,não votou,não,não votou,sim,não votou,não,não votou,sim,não,não
178918,Kaio Maniçoba,solidaried,PE,sim,não,não,sim,sim,sim,sim,sim,não,sim,não votou,sim,não,sim,sim,-,sim,sim,sim,não,sim,sim,não votou,não votou
74856,Laura Carneiro,dem,RJ,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,sim,sim
141562,Lelo Coimbra,mdb,ES,não,sim,sim,não,sim,não,sim,sim,não,não,sim,sim,não,sim,sim,sim,sim,não votou,não,sim,sim,sim,não,não
74254,Leonardo Picciani,mdb,RJ,não votou,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não,sim,não votou,sim,sim,não votou,sim,não votou,não,não,não
141482,Leonardo Quintão,mdb,MG,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não votou,não,sim,sim,não,não
178954,Lucio Mosquini,mdb,RO,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,-,sim,sim,não votou,sim,sim,sim,não,não
94931,Lucio Vieira Lima,mdb,BA,não votou,não votou,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,-,não votou,sim,sim,não votou,não votou,sim,não,não
141490,Manoel Junior,mdb,PB,não votou,não votou,não votou,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não votou,sim,sim,sim,não votou,não votou
74460,Marcelo Castro,mdb,PI,não votou,sim,não votou,não,não,não,sim,sim,sim,abstenção,sim,sim,sim,sim,sim,-,sim,sim,não votou,não,não votou,não,não votou,não votou
178942,Marco Antônio Cabral,mdb,RJ,não votou,não votou,não votou,não votou,não votou,não votou,não votou,-,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,sim,não,não
178850,Marcos Rotta,mdb,AM,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não,sim,não,sim,sim,não votou,sim,sim,não votou,sim,sim,sim,não votou,não votou
74177,Marinha Raupp,mdb,RO,não votou,sim,sim,não,sim,não,sim,sim,não,não,sim,sim,não votou,sim,não,sim,sim,não votou,não votou,não,sim,sim,não,não
181315,Marquinho Mendes,mdb,RJ,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não votou,sim,sim,não votou,não votou,não votou
178843,Marx Beltrão,psd,AL,sim,sim,não votou,sim,sim,sim,sim,não votou,sim,sim,não,não,sim,sim,sim,não votou,sim,sim,não votou,sim,sim,sim,não,não
74749,Mauro Lopes,mdb,MG,sim,não votou,não,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não votou,sim,sim,não,não
141507,Mauro Mariani,mdb,SC,sim,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,-,não,sim,sim,sim,sim,sim,não,sim
124411,Mauro Pereira,mdb,RS,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,não,não,sim,sim,não,não
178997,Moses Rodrigues,mdb,CE,sim,não,sim,sim,não,não,sim,sim,sim,sim,não,sim,não,não,não,não,sim,sim,não,sim,sim,sim,não,não
178896,Newton Cardoso Jr,mdb,MG,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não votou,sim,sim,sim,sim,sim,-,não,sim,sim,não,não,sim,não,não
73463,Osmar Serraglio,progressistas,PR,sim,sim,não votou,sim,sim,sim,sim,não votou,sim,sim,não votou,sim,não votou,sim,sim,não votou,sim,sim,sim,não votou,não votou,sim,não votou,não
73692,Osmar Terra,mdb,RS,não votou,sim,sim,não votou,não votou,não votou,sim,não votou,não,não,sim,não votou,sim,não votou,não,não votou,sim,não votou,sim,não,sim,sim,não,não votou
74812,Pedro Chaves,mdb,GO,não votou,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,-,sim,sim,sim,não,sim,sim,não,não
122158,Pedro Paulo,dem,RJ,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,sim,não,não
141532,Rocha Loures,mdb,PR,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,não votou,não votou,não votou,não votou,-,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou
178897,Rodrigo Pacheco,dem,MG,sim,não votou,não,sim,sim,não,sim,sim,não votou,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não votou,sim,sim,abstenção,abstenção
160651,Rogério Peninha Mendonça,mdb,SC,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,não,sim,sim,não,não
160515,Ronaldo Benedet,mdb,SC,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,-,sim,sim,sim,sim,sim,sim,não,não
74762,Saraiva Felipe,mdb,MG,sim,sim,sim,não votou,sim,não votou,sim,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,não,não
178933,Sergio Souza,mdb,PR,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,não votou,sim,não,não
160612,Sergio Zveiter,dem,RJ,não votou,sim,sim,não votou,não votou,não votou,sim,sim,não votou,não votou,sim,não votou,sim,sim,sim,sim,não votou,não votou,não votou,não,sim,sim,sim,sim
74765,Silas Brasileiro,mdb,MG,sim,sim,não,não votou,não votou,não votou,sim,não votou,não votou,sim,não votou,não votou,não votou,sim,sim,não votou,sim,sim,sim,sim,sim,não votou,não votou,não votou
178911,Simone Morgado,mdb,PA,sim,sim,sim,não,não,não,sim,não,não,não,sim,sim,sim,sim,não votou,não,sim,sim,sim,não,sim,não,não,não
178946,Soraya Santos,pr,RJ,não votou,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,não votou,não votou,sim,sim,não,não
74010,Valdir Colatto,mdb,SC,sim,não,sim,não votou,não votou,não votou,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,não,sim,sim,não,sim,sim,não,não
