"tipo","numero","ano","ementa","explicacao_ementa"
"REQ",2027,2015,"Nos termos do Art. 155 do Regimento Interno da Câmara dos Deputados, requeiro a Vossa Excelência, URGÊNCIA para a tramitação do Projeto de Decreto Legislativo nº 1408 de 2013, que ""Susta a Norma Regulamentadora nº 12 (NR 12) - Segurança em Máquinas e Equipamentos, do Ministério do Trabalho e Emprego (MTE)"".",NA
"REQ",1117,2015,"Solicita a realização de acareação entre o Sr. Leonardo Meirelles e o Sr. Alberto Youssef",NA
"PLP",13,2015,"Altera a redação do art. 3.º da Lei Complementar 79, de 7 de janeiro de 1994, que ""cria o Fundo Penitenciário Nacional - FUNPEN, e dá outras providências.","Destina recursos do Fundo Penitenciário Nacional para implantação de berçário e creche nos estabelecimentos penais."
"PL",7469,2014,"Altera a Lei nº 12.382, de 25 de fevereiro de 2011, com o objetivo de estender o prazo referente à política de valorização do salário mínimo e, consequentemente, o seu aumento real, mantendo os índices de correção vigentes.","Fixa os percentuais a serem aplicados para o reajuste do salário mínimo entre 2016 e 2019, inclusive."
"REQ",1219,2015,"Requer urgência, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, para apreciação do PL nº 6.726, de 2013, que dispõe sobre a exploração e a produção de petróleo, de gás natural e de outros hidrocarbonetos fluidos, sob o regime de concessão, em áreas do pré-sal e em áreas estratégicas, e dá outras providências.",NA
"REQ",2409,2015,"Requer, nos termos do art. 155, do Regimento Interno da Câmara dos Deputados, URGÊNCIA para a tramitação de PL nº 5.230, de 2013, que ""acrescenta dispositivos à Lei nº 12.592, de 18 de janeiro de 2.012, para dispor sobre a regulamentação e base de tributação do ""salão-parceiro"" e do ""profissional-parceiro"".",NA
"REQ",1681,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 1.358/15.",NA
"PL",2479,2000,"Altera o art. 12 do Decreto-Lei nº 73, de 21 de novembro de 1966, que ""Dispõe sobre o sistema nacional de seguros privados, regula as operações de seguros e resseguros e dá outras providências"".","Fixa um prazo limite de 30 (trinta) dias para o pagamento de indenização ao segurado; dispõe que os casos em que haja litígio ou discordância sejam dirimidos na Justiça."
"REQ",1108,2015,"Requer a realização de acareação entre o agente de Polícia Federal Dalmey Fernando Werlang e os Delegados Federais Igor Romário de Paula, Márcio Adriano Anselmo, Rosalvo Ferreira Franco e Daniele Gossenheimer Rodrigues.",NA
"REQ",3101,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 2.430/2003.",NA
"MPV",665,2014,"Altera a Lei nº 7.998, de 11 de janeiro de 1990, que regula o Programa do Seguro- Desemprego, o Abono Salarial e institui o Fundo de Amparo ao Trabalhador - FAT, altera a Lei nº 10.779, de 25 de novembro de 2003, que dispõe sobre o seguro desemprego para o pescador artesanal, e dá outras providências.

NOVA EMENTA: Altera as Leis nºs 7.998, de 11 de janeiro de 1990, que regula o Programa do Seguro-Desemprego, o Abono Salarial e institui o Fundo de Amparo ao Trabalhador - FAT, 10.779, de 25 de novembro de 2003, que dispõe sobre o seguro-desemprego para o pescador artesanal, e 8.213, de 24 de julho de 1991; revoga as Leis nºs 7.859, de 25 de outubro de 1989, e 8.900, de 30 de junho de 1994; e dá outras providências.","Estabelece novas regras para concessão do seguro desemprego e do abono salarial. Revoga a Lei nº 7.859,  de 1989 e dispositivos da Lei nº 8.900, de 1994."
"REQ",784,2015,"Solicita a convocação do Ministro de Estado da Educação, Sr. Cid Gomes, para prestar pessoalmente informações sobre declaração feita durante visita à Universidade Federal do Pará.",NA
"REQ",2971,2015,"Requer regime de urgência na apreciação do Projeto de Lei nº 4059, de 2012, que regulamenta o art. 190, da Constituição Federal, altera o art. 1º, da Lei nº 4.131, de 3 de setembro de 1962, o art. 1º da Lei nº 5.868, de 12 de dezembro de 1972 e o art. 6º Lei nº 9.393, de 19 de dezembro de 1996 e dá outras providências.",NA
"REQ",1117,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 8122/2014.",NA
"REQ",567,2015,"Requer a instalação de Comissão Temporária Externa, destinada a acompanhar as circunstancias em que ocorreram e os desdobramentos da prisão do prefeito da cidade de Caracas, Antonio Ledezma, pelo  Serviço Bolivariano de Inteligência Nacional (Sebin).",NA
"PL",6446,2013,"Dispõe sobre o direito de resposta ou retificação do ofendido por matéria divulgada, publicada ou transmitida por veículo de comunicação social.",NA
"MPV",675,2015,"Altera a Lei nº 7.689, de 15 de dezembro de 1988, para elevar a alíquota da Contribuição Social sobre o Lucro Líquido - CSLL em relação às pessoas jurídicas de seguros privados e de capitalização e às referidas nos incisos I a VII, IX e X do § 1º do art. 1º da Lei Complementar nº 105, de 10 de janeiro de 2001.

NOVA EMENTA: Altera a Lei nº 7.689, de 15 de dezembro de 1988, para elevar a alíquota da Contribuição Social sobre o Lucro Líquido - CSLL em relação às pessoas jurídicas de seguros privados e de capitalização, e às referidas nos incisos I a VII, IX e X do § 1º do art. 1º da Lei Complementar nº 105, de 10 de janeiro de 2001; altera as Leis nºs 9.808, de 20 de julho de 1999, 8.402, de 8 de janeiro de 1992, 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, 11.033, de 21 de dezembro de 2004, 12.715, de 17 de setembro de 2012, 9.249, de 26 de dezembro de 1995, 11.484, de 31 de maio de 2007, 12.973, de 13 de maio de 2014, 10.150, de 21 de dezembro de 2000, e 10.865, de 30 de abril de 2004; e dá outras providências.",NA
"PEC",172,2012,"Altera o art. 160 da Constituição Federal.","Estabelece que a lei não imporá nem transferirá qualquer encargo ou a prestação de serviços aos Estados,  Distrito Federal ou  aos municípios sem a previsão de repasses financeiros necessários ao seu custeio."
"MPV",663,2014,"Altera a Lei nº 12.096, de 24 de novembro de 2009.","Fica a União autorizada a conceder subvenção econômica, sob a modalidade de equalização de taxas de juros, nas operações de financiamento contratadas até 31 de dezembro de 2015."
"PLP",25,2007,"Dá nova redação ao caput do art. 79 da Lei Complementar nº 123, de 14 de dezembro de 2006.","Prorroga o prazo para que as empresas optantes do Simples Nacional ou ""Supersimples"",  tenham o direito de parcelar os débitos relativos a fatos geradores ocorridos até 31 de dezembro de 2006."
"REQ",2727,2015,"Requer regime de urgência para a apreciação do Projeto de Lei n° 8.170, de 2014, que 'Concede anistia aos débitos decorrentes de multas cominadas pelo IBAMA aos Municípios por infrações administrativas ambientais ocorridas antes da vigência da Lei Complementar n° 140, de 8 de dezembro de 2011, nos termos que especifica.""",NA
"REQ",1129,2015,"Requer urgência, nos termos do art. 155, do Regimento Interno da Câmara dos Deputados, para apreciação do PL 5773/2013, de autoria do Deputado Onyx Lorenzoni, que altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, acrescentando o art. 288 - B, tipificando o crime de terrorismo, e dá outras disposições.",NA
"PL",863,2015,"Altera a Lei nº 12.546, de 14 de dezembro de 2011, quanto à contribuição previdenciária sobre a receita bruta; a Lei nº 12.469, de 26 de agosto de 2011, a Lei nº 12.995, de 18 de junho de 2014, e a Lei nº 11.196, de 21 de novembro de 2005, quanto à tributação de bebidas frias; e a Lei nº 12.780, de 9 de janeiro de 2013, que dispõe sobre medidas tributárias referentes à realização, no Brasil, dos Jogos Olímpicos de 2016 e dos Jogos Paraolímpicos de 2016.

NOVA EMENTA: Altera as Leis nºs 12.546, de 14 de dezembro de 2011, quanto à contribuição previdenciária sobre a receita bruta, 12.780, de 9 de janeiro de 2013, que dispõe sobre medidas tributárias referentes à realização, no Brasil, dos Jogos Olímpicos de 2016 e dos Jogos Paraolímpicos de 2016, 11.977, de 7 de julho de 2009, e 12.035, de 1º de outubro de 2009; e revoga dispositivos da Lei n° 11.196, de 21 de novembro de 2005, quanto à tributação de bebidas frias.",NA
"PL",1057,2007,"Dispõe sobre o combate a práticas tradicionais nocivas e à proteção dos direitos fundamentais de crianças indígenas, bem como pertencentes a outras sociedades ditas não tradicionais.","Projeto de Lei conhecido como ""Lei Muwaji"", em homenagem a uma mãe da tribo dos suruwahas, que se rebelou contra a tradição de sua tribo e salvou a vida da filha, que seria morta por ter nascido deficiente."
"PLP",37,2015,"""Altera a Lei Complementar nº 148, de 25 de novembro de 2014.""

NOVA EMENTA: Altera a Lei Complementar nº 148, de 25 de novembro de 2014;  revoga as Leis nºs 10.819, de 16 de dezembro de 2003, e 11.429, de 26 de dezembro de 2006; e dá outras providências.","Estabelece prazo de 30 (trinta) dias para reindexação de dívidas dos Estados."
"REQ",2118,2015,"Requer urgência para a votação do PL 1780/2015, que altera a Lei nº 9.504, de 30 de setembro de 1997, para excluir as despesas com ações e serviços de saúde das restrições a que estão sujeitas as transferências voluntárias em períodos pré-eleitorais.",NA
"REQ",1121,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 7224/2006.",NA
"PL",4474,2004,"Acrescenta parágrafo ao art. 73 da Lei nº 9.504, de 30 de setembro de 1997, dispondo sobre a transferência voluntária de recursos em ano eleitoral.","Limita os valores das transferências voluntárias da União aos estados e municípios, e dos estados aos municípios, à média dos valores correspondentes às transferências realizadas nos três anos anteriores as eleições."
"MPV",671,2015,"Institui o Programa de Modernização da Gestão e de Responsabilidade Fiscal do Futebol Brasileiro, dispõe sobre a gestão temerária no âmbito das entidades desportivas profissionais, e dá outras providências.

NOVA EMENTA: Estabelece princípios e práticas de responsabilidade fiscal e financeira e de gestão transparente e democrática para entidades desportivas profissionais de futebol; institui parcelamentos especiais para recuperação de dívidas pela União, cria a Autoridade Pública de Governança do Futebol - APFUT;  dispõe sobre a gestão temerária no âmbito das entidades desportivas profissionais; cria a Loteria Exclusiva - LOTEX; altera as Leis nºs 9.615, de 24 de março de 1998, 8.212, de 24 de julho de 1991, 10.671, de 15 de maio de 2003, 10.891, de 9 de julho de 2004, 11.345, de 14 de setembro de 2006, e 11.438, de 29 de dezembro de 2006, e os Decretos-Leis nºs 3.688, de 3 de outubro de 1941, e 204, de 27 de fevereiro de 1967;  revoga a Medida Provisória nº 669, de 26 de fevereiro de 2015; cria programa de iniciação esportiva escolar; e dá outras providências.","Altera as Leis nº 10.671, de 2003 e nº 9.615, de 1998. Revoga a Medida Provisória nº 669, de 2015."
"REQ",739,2015,"Requer que seja submetido à deliberação do Plenário desta Comissão Parlamentar de Inquérito o pedido ora formulado de REQUISIÇÃO ao titular da Delegacia da Polícia Civil de Bastos no estado de São Paulo do inteiro teor do Termo de Depoimento do Senhor Antônio Carlos Vaccari, dos autos do Inquérito Policial que investiga conduta do mesmo, bem como de todo e qualquer documento ou depoimento produzido pertinente ao caso.",NA
"PL",4330,2004,"Dispõe sobre o contrato de prestação de serviço a terceiros e as relações de trabalho dele decorrentes.

NOVA EMENTA: Dispõe sobre os contratos de terceirização e as relações de trabalho deles decorrentes.",NA
"PEC",182,2007,"Altera os arts. 17, 46 e 55 da Constituição Federal, para assegurar aos partidos políticos a titularidade dos mandatos parlamentares e estabelecer a perda dos mandatos dos membros do Poder Legislativo e do Poder Executivo que se desfiliarem dos partidos pelos quais forem eleitos.","PEC da Fidelidade Partidária."
"MPV",678,2015,"Altera a Lei nº 12.462, de 4 de agosto de 2011, que institui o Regime Diferenciado de Contratações Públicas.

NOVA EMENTA: Altera as Leis nºs 12.462, de 4 de agosto de 2011, que institui o Regime Diferenciado de Contratações Públicas - RDC, 7.210, de 11 de julho de 1984, 6.015, de 31 de dezembro de 1973, 8.935, de 18 de novembro de 1994, 11.196, de 21 de novembro de 2005, e 12.305, de 2 de agosto de 2010; e dá outras providências.","Aplica o Regime Diferenciado de Contratações Públicas - RDC nas licitações e contratos de construção, ampliação e reforma de estabelecimentos penais e unidades de atendimento socioeducativo e nas ações de Segurança Pública."
"REQ",3048,2015,"Requer urgência na apreciação do Projeto de Lei nº 6401/2009, que altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre infração relacionada ao transporte de criança em motocicleta.",NA
"PEC",197,2012,"Altera o § 2º do art. 155 da Constituição Federal, para modificar a sistemática de cobrança do imposto sobre operações relativas à circulação de mercadorias e sobre prestações de serviços de transporte interestadual e intermunicipal e de comunicação incidente sobre as operações e prestações realizadas de forma não presencial e que destinem bens e serviços a consumidor final localizado em outro Estado.",NA
"REQ",1125,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 6701/2013.",NA
"REQ",1125,2015,"Solicita a convocação do Senhor IRINEU BERNARDI MEIRELES, para prestar depoimento na CPI PETROBRAS.",NA
"MPV",687,2015,"Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, para dispor sobre a Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional - Condecine, e a Lei nº 12.529, de 30 de novembro de 2011, para dispor sobre as taxas processuais sobre os processos de competência do Conselho Administrativo de Defesa Econômica - Cade, e autoriza o Poder Executivo federal a atualizar monetariamente o valor das taxas e dos preços estabelecidos pela Lei nº 6.938, de 31 de agosto de 1981.

NOVA EMENTA: Altera a Medida Provisória  nº 2.228-1, de 6 de setembro de 2001, para dispor sobre a Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional - CONDECINE e prorrogar a vigência de incentivo fiscal no âmbito dos Fundos de Financiamento da Indústria Cinematográfica Nacional - FUNCINES, e a Lei nº 12.529, de 30 de novembro de 2011, para dispor sobre as taxas processuais sobre os processos de competência do Conselho Administrativo de Defesa Econômica - CADE; autoriza o Poder Executivo federal a atualizar monetariamente o valor das taxas e dos preços estabelecidos pela Lei nº 6.938, de 31 de agosto de 1981; prorroga a vigência de incentivos fiscais previstos na Lei nº 8.685, de 20 de julho de 1993; altera a Lei nº 12.995, de 18 de junho de 2014; dispõe sobre o processo de investigação de falsa declaração de origem no âmbito da política de defesa comercial; e revoga dispositivos da Lei nº 4.117, de 27 de agosto de 1962, e a Lei nº 5.785, de 23 de junho de 1972, para dispor sobre a renovação de outorga de serviços de radiodifusão.",NA
"PL",2016,2015,"Altera a Lei nº 12.850, de 2 de agosto de 2013, e a Lei nº 10.446, de 8 de maio de 2002, para dispor sobre organizações terroristas.
NOVA EMENTA: Regulamenta o disposto no inciso XLIII do art. 5º da Constituição Federal, disciplinando o terrorismo, tratando de disposições investigatórias e processuais e reformulando o conceito de organização terrorista; e altera as Leis nºs 7.960, de 21 de dezembro de 1989, e 12.850, de 2 de agosto de 2013.",NA
"PDC",57,2015,"Aprova o texto do Tratado de Marraqueche para Facilitar o Acesso a Obras Publicadas às Pessoas Cegas, com Deficiência Visual ou com Outras Dificuldades para ter acesso ao Texto Impresso, concluído no âmbito da Organização Mundial da Propriedade Intelectual (OMPI), celebrado em Marraqueche, em 28 de junho de 2013.",NA
"REQ",567,2015,"Requer seja convocado Senhor Joel Mendes Rennó, Presidente da Petrobras no período de 1992 a 1999.",NA
"PEC",215,2003,"Acrescenta o § 3º ao art. 42 da Constituição Federal que dispõe sobre os militares dos Estados, do Distrito Federal e dos Territórios.","Possibilita aos militares dos Estados, Distrito Federal e dos Territórios a acumulação remunerada de cargo de professor, cargo técnico ou científico ou de cargo privativo de profissionais de saúde."
"REQ",1030,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 644/2015.",NA
"PLP",177,2012,"Estabelece normas de finanças públicas voltadas para a transparência, controle e fiscalização da execução de parcerias e convênios entre órgãos públicos e organizações não governamentais.

NOVA EMENTA: Estabelece normas de finanças públicas voltadas para a transparência, controle e fiscalização da execução de contratos de repasse, termos de parceria, convênios e instrumentos congêneres, celebrados entre órgãos e entidades  públicas e  as
pessoas jurídicas de direito privado sem fins lucrativos; altera a Lei Complementar nº 101, de 4 de maio de 2000, a Lei nº 8.429, de 2 de junho de 1992, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, a Lei Complementar nº 64, de 18 de maio de 1990; e revoga dispositivo da Lei nº 8.666, de 21 de junho de 1993.","Altera a Lei Complementar nº 101, de 2000; a Lei Complementar nº 64, de 1990; a Lei nº 8.429, de 1992 e o Decreto-lei nº 2.848, de 1940."
"REQ",894,2015,"Requer nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei 623/2015.",NA
"PDC",1287,2013,"Aprova o texto da Convenção que estabelece a Organização Europeia para a Pesquisa Astronômica no Hemisfério Austral, assinado em Brasília, em 29 de dezembro de 2010, e os demais atos internacionais a ela anexados, que especifica.

NOVA EMENTA: Aprova o texto da Convenção que Estabelece a Organização Europeia para a Pesquisa Astronômica no Hemisfério Austral, cuja adesão brasileira foi assinada em Brasília, em 29 de dezembro de 2010, e os demais atos internacionais a ela anexados, que especifica.",NA
