Deputado,Partido,Estado,Voto,Gênero,Fala,
Beto Faro,PT,PA,Não,M,"Sr. Presidente, em defesa da nossa democracia, em defesa da Constituição, em defesa do povo pobre do Brasil, que teve no Governo Lula e no Governo da Presidenta Dilma esperança e investimentos, o meu voto é não.",
Beto Salame,PP,PA,Abstenção,M,"Sr. Presidente, todos no Pará sabem da minha lealdade e da minha posição contrária ao impeachment. No entanto, em respeito à posição do PP, do meu partido, eu me abstenho.",
Delegado Éder Mauro,PSD,PA,Sim,M,"Sr. Presidente, em nome do meu filho Éder Mauro Filho, de 4 anos, e do Rogério, que, junto com a minha esposa, formamos uma família no Brasil, que tanto esses bandidos querem destruir com propostas de que criança troque de sexo e aprenda sexo nas escolas, com 6 anos de idade, em nome de todo o povo do Estado do Pará, eu voto sim.",
Edmilson Rodrigues,PSOL,PA,Não,M,"Sr. Presidente, o meu voto é um rotundo não, com a moral de ser de um partido, o PSOL, que faz oposição, mas oposição de esquerda, programática, socialista ao Governo, e que não é conivente com golpe à democracia.",
Elcione Barbalho,PMDB,PA,Não,F,"Em respeito à nossa Carta Magna, à nossa Constituição, eu voto não.",
Francisco Chapadinha,PTN,PA,Sim,M,"Pelo Pará e pelo Brasil, sim.",
Hélio Leite,DEM,PA,Sim,M,"Com a proteção de Deus e em respeito à minha família, em respeito aos meus amigos, em respeito à minha Castanhal, ao Estado do Pará e ao Brasil, meu voto é sim.",
Joaquim Passarinho,PSD,PA,Sim,M,"Pedindo as bênçãos de Nossa Senhora de Nazaré, pelo meu Estado do Pará, pela minha família, pela minha honra, pelas minhas duas filhas, sim, contra a corrupção!",
José Priante,PMDB,PA,Sim,M,"Sr. Presidente, o sentimento majoritário que preside em cada brasileiro que acompanha esta sessão histórica que se realiza hoje aqui na Câmara dos Deputados é o sentimento da esperança. Portanto, vou acompanhar a opinião majoritária do povo do meu Estado do Pará. Eu voto sim.",
Josué Bengtson,PTB,PA,Sim,M,"Sr. Presidente, por minha família, pela família quadrangular e evangélica em todo o Brasil, pelo Pará, eu voto sim. E feliz é a Nação cujo Deus é o Senhor. Que Deus continue abençoando o povo brasileiro!",
Júlia Marinho,PSC,PA,Sim,F,"Sr. Presidente, em respeito à minha família, pelo povo brasileiro e do meu querido Pará, e em consideração e respeito à nação evangélica, o meu voto é sim.",
Lúcio Vale,PR,PA,Não,M,"Sr. Presidente, penso que as acusações feitas à Presidente da República são eivadas de falhas e de vícios. Penso, também, que este processo de impeachment é um processo equivocado. Por isso, eu voto contra o impeachment.",
Nilson Pinto,PSDB,PA,Sim,M,"Sr. Presidente, em respeito à minha mulher, aos meus filhos e aos meus netos, pelo povo do meu querido Estado do Pará, por um futuro melhor para o Brasil, eu voto sim.",
Simone Morgado,PMDB,PA,Não,F,"Pela defesa da democracia, por considerar que a Presidente Dilma não cometeu nenhum crime, diferentemente de tantos outros denunciados que o cometeram e que envergonham esta Casa, por toda a história do Brasil e pelo povo do Pará, eu digo não ao impeachment!",
Wladimir Costa,SD,PA,Sim,M,"Presidente, um colega nosso aqui da Câmara , cujo nome não vou citar, disse que, se nós cassarmos a Presidente Dilma hoje, ele vai se mudar do Brasil. Eu já comprei a passagem dele, sem volta. Saia daqui, porque nós vamos cassar o Brasil, em nome do Pará . Minha mãe negra Lucimar, meu sul e sudeste do Pará, meu Tapajós amado, meu querido nordeste do Pará, toda a área metropolitana, nós encaminhamos, em nome do Brasil, minha mãezinha, dos meus filhos, dos meus amigos do Solidariedade, desse povo querido que vota sim, nós votamos sim! E quem vota sim coloca a mão para cima! Coloca a mão para cima!",
Zé Geraldo,PT,PA,Não,M,"Povo brasileiro, povo do Pará, haja coração para aguentar tanta hipocrisia. Pela democracia, pelo desenvolvimento do Brasil, contra os fascistas, os golpistas, os oportunistas e os picaretas desta Câmara, eu sou contra este golpe moderno que querem fazer e atingir a nossa Presidenta Dilma. Covardia daqueles que votam a favor desse impeachment. Bando de covardes!",
Alex Canziani,PTB,PR,Sim,M,"O futuro não é o mero encontro dos astros, o futuro se constrói, segundo Dom Ivo Lorscheiter. Sr. Presidente, nobres pares, voto com o Relator Jovair Arantes. Voto pela reconstrução do Brasil. Voto sim!",
Alfredo Kaefer,PSL,PR,Sim,M,"Pela liberdade, pela democracia, por um futuro melhor, em honra do povo do Paraná e das pessoas de bem que querem tirar uma oligarquia instalada neste poder, eu voto sim pelo impeachment.",
Aliel Machado,Rede,PR,Não,M,"Acredito que a única forma de termos legitimidade a partir desta crise é uma nova eleição presidencial, que é isso que eu defendo. Neste momento, não posso aceitar nem Dilma, nem Temer, muito menos o Sr. Eduardo Cunha, que é acusado de ser ladrão. Por isso, o meu voto é não.",
Assis do Couto,PDT,PR,Não,M,"Pela democracia, em respeito à Constituição, que juramos cumprir nesta Casa, pela cidadania dos mais pobres deste País, o meu voto é não.",
Christiane de Souza Yared,PR,PR,Sim,F,"Senhores, cabe a nós a tarefa de unirmos este País. E,se as leis são para todos, se as pedaladas condenam Dilma, devem condenar também Governadores como o do meu Estado. Sr. Beto Richa, a sua hora está chegando! Meu voto é sim.",
Diego Garcia,PHS,PR,Sim,M,"Sr. Presidente, fui eleito por paranaenses que acreditam no resgate da moralidade na política. Fui eleito pelo projeto de fé e política da renovação carismática católica no meu Estado do Paraná. Pela minha família, pela minha filha, pela minha esposa, pelo povo do Paraná, tenho orgulho em dizer: terra da Lava-Jato, avante! Polícia Federal! Sim ao impeachment.",
Dilceu Sperafico,PP,PR,Sim,M,"Pela minha família, pela minha querida cidade de Toledo, do meu Estado do Paraná, pelos agricultores do nosso Brasil, que estão fazendo com que este País ainda possa andar, o meu voto é sim.",
Enio Verri,PT,PR,Não,M,"Sr. Presidente, em respeito aos 200 milhões de habitantes deste País, que lutaram e morreram pela democracia — neste momento, querem transformar esta Casa num colégio eleitoral aplicando um golpe em nossa Constituição —, em respeito aos trabalhadores, eu voto não.",
Evandro Roman,PSD,PR,Sim,M,"Pelo meu Paraná, pelo meu Estado, que foi tão maltratado por este Governo, pela minha querida Céu Azul, pela minha região Oeste do Estado do Paraná, por Cascavel, o meu voto é sim.",
Fernando Francischini,SD,PR,Sim,F,"Sr. Presidente, como Delegado da Polícia Federal, meu voto vai pelo fim da facção criminosa lulopetista, fim da pelegagem da CUT, fim da CUT e seus marginais. Viva a Lava-Jato, a República de Curitiba! E a minha bandeira nunca será vermelha! Sim, Presidente!",
Giacobo,PR,PR,Sim,M,"Sr. Presidente, voto sim.",
Hermes Parcianello,PMDB,PR,Sim,M,"Sr. Presidente, sinto cheiro das mesmas aves de rapina de 54, que levaram Getúlio ao suicídio, mas a força do voto de Cascavel, do Oeste do Paraná, do Noroeste, dos Campos Gerais, dos meus eleitores, dos mais de 150 mil eleitores, do povo do Paraná e do Brasil, meu voto é sim.",
João Arruda,PMDB,PR,Sim,M,"Sr. Presidente, há um processo jurídico e político. Pesou a vontade dos paranaenses e também do meu partido. Pela admissibilidade do processo, que continua e será julgado pelo Senado Federal, eu voto sim.",
Leandre,PV,PR,Sim,F,"Hoje é o dia em que o Brasil vai se reencontrar com a esperança. Pelo povo do Paraná, pelos brasileiros e pelo Brasil que queremos, voto sim.",
Leopoldo Meyer,PSB,PR,Sim,M,O povo do Paraná pede o voto sim. Espero que nós continuemos a ouvir a voz das ruas. O meu voto é sim.,
Luciano Ducci,PSB,PR,Sim,M,"Pelos paranaenses e pelos curitibanos, por um País justo e decente, não vamos desistir do Brasil. Impeachment sim! Viva o Brasil! Viva Curitiba!",
Luiz Carlos Hauly,PSDB,PR,Sim,M,"Em nome do povo brasileiro, por amor a este País, aos paranaenses de Curitiba, Londrina, Cambé, Rolândia, Arapongas e Ibiporã, que é a minha base eleitoral, e sabendo que este Governo não tem maioria no Parlamento — em qualquer Parlamento do mundo, quando não se tem maioria, só se tem um terço, não tem como governar. Na Europa, troca-se o Governo que não tem maioria. Pelos crimes de responsabilidade e de lesa-pátria cometidos pela Presidente Dilma, voto sim, pelo Brasil.",
Luiz Nishimori,PR,PR,Sim,M,"Sou um Deputado municipalista e do agronegócio. Portanto, em nome do Paraná, pelo desenvolvimento e progresso do Brasil, voto sim.",
Marcelo Belinati,PP,PR,Sim,M,"Sr. Presidente, Sras. e Srs. Deputados, povo brasileiro, defendo eleições gerais para a renovação da política do Brasil. De preferência, que nossa população mande de volta para casa todas — sem exceção — essas velhas raposas que estão aí. Voto sim ao impeachment.",
Nelson Meurer,PP,PR,Sim,M,"Sr. Presidente, pela minha família, pelo meu querido Município de Francisco Beltrão, pelo meu querido sudoeste do Paraná, pelos meus eleitores do meu Estado, voto sim.",
Nelson Padovani,PSDB,PR,Sim,M,"Sr. Presidente, pelo meu Estado, o Paraná, e pelo Brasil, voto sim.",
Osmar Serraglio,PMDB,PR,Sim,M,"Sr. Presidente, pelo País sério que todos nós sonhamos e queremos, por um País sem mensalão, sem petrolão, pelo que nós queremos para o nosso querido Paraná, do Sérgio Moro, para a minha querida Umuarama, eu voto sim.",
Paulo Martins,PSDB,PR,Sim,M,"Sr. Presidente, também em nome dos Deputados Edmar Arruda e Valdir Rossoni, pelo povo que foi às ruas do Brasil de verde e amarelo, por um Brasil livre do PT, pelo Paraná, pela República de Curitiba, eu voto sim.",
Ricardo Barros,PP,PR,Sim,M,"Sr. Presidente, pela unidade do Partido Progressista, que fechou questão em relação ao impeachment, pelos progressistas da minha família: Maria Victoria, Cida Borghetti, Silvio Barros, pelos paranaenses que represento e pela minha Maringá, o meu voto é sim.",
Rubens Bueno,PPS,PR,Sim,M,"Sr. Presidente, primeiro, quero fazer uma homenagem à bancada do PPS,que na sua totalidade está votando pelo impeachment. Dois Parlamentares não puderam estar aqui para votar pela suplência: o Deputado Raul Jungmann e o nosso Presidente, Deputado Roberto Freire, de São Paulo. Então, deixo aqui a nossa homenagem. Eu disse, em 1992, que eu estava aqui votando em nome do povo de Campo Mourão, que me acolheu, que me recebeu. Repito, Campo Mourão me acolheu e continuo muito grato por isso. Sr. Presidente, temos agora o compromisso maior de fazer com que a Operação Lava-Jato, o Ministério Público, a Polícia Federal e o Juiz Sérgio Moro possam dar a sua contribuição. Por isso, pelo Paraná, pelo Brasil, eu voto sim.",
Sandro Alex,PSD,PR,Sim,M,"Em respeito à minha família e à Constituição brasileira e representando a cidade de Ponta Grossa, a região dos Campos Gerais e o Estado do Paraná, o meu voto é sim.",
Sergio Souza,PMDB,PR,Sim,M,"Sr. Presidente, em nome do meu partido, o PMDB, da minha cidade de Curitiba, no Paraná, e em nome do povo brasileiro, eu voto sim!",
Takayama,PSC,PR,Sim,M,"Contra a ladroeira, contra a imposição desse partido de esquerda, que quer transformar este Brasil numa ditadura de esquerda, o meu voto é ""sim"". Pelo impeachment, pelo Sérgio Moro, pelos evangélicos, pelo meu Brasil, pela minha família, voto sim.",
Toninho Wandscheer,PROS,PR,Sim,M,"Em memória do meu pai, Paulo Wandscheer, que, tenho certeza, estaria mandando — ele nem pediria; ele mandaria — eu votar pela minha cidade, Fazenda Rio Grande, pelo meu Estado do Paraná, pela minha família e pelo meu Brasil querido, eu voto sim.",
Zeca Dirceu,PT,PR,Não,M,"Meu voto será uma homenagem aos jovens da década de 60, que lutaram contra a ditadura, uma homenagem aos jovens que, há muitos meses, estão nas ruas, lutando contra esse golpe, uma homenagem aos sindicalistas, aos movimentos sociais, a todos aqueles que sabem que o que está em jogo não é apenas um Governo, não é apenas a figura da Presidenta Dilma, é a democracia. Meu voto é não.",
Carlos Marun,PMDB,MS,Sim,M,"Sr. Presidente, porque é constitucional, porque é necessário —meu País precisa de um novo rumo —, pela minha família, pelo meu Mato Grosso do Sul, eu voto sim. Impeachment já! Viva o Brasil!",
Dagoberto,PDT,MS,Não,M,"Em homenagem a um grande brasileiro, o Leonel Brizola, e à sua história de luta, pela legalidade, pela democracia e pela liberdade, eu voto não, Sr. Presidente.",
Elizeu Dionizio,PSDB,MS,Sim,M,"Sr. Presidente, na minha curta estrada da política, é a segunda vez que eu deparo com uma situação dessas. É a segunda vez que tenho que votar contra um gestor que cometeu improbidade administrativa. Como na primeira vez, eu voto pelo meu Mato Grosso do Sul. Pela juventude do meu Brasil, eu voto sim. Tchau, querida!",
Geraldo Resende,PSDB,MS,Sim,M,"Em respeito ao meu querido povo de Dourados, em respeito ao povo do Mato Grosso do Sul, em respeito ao povo brasileiro, em nome da minha família e por um novo Brasil, eu voto sim, Sr. Presidente.",
Mandetta,DEM,MS,Sim,M,"Porque nós temos um País para construir, por causa das famílias, por causa de Campo Grande, a morena mais linda do Brasil, pelo meu Mato Grosso do Sul e pelo Brasil, o voto é sim.",
Tereza Cristina,PSB,MS,Sim,F,"Pelo meu Mato Grosso do Sul, por todos que foram às ruas pedir este momento, pelos agricultores, pela minha família e por uma nova esperança para o Brasil, eu voto sim.",
Vander Loubet,PT,MS,Não,M,"Sr. Presidente, impeachment sem crime é golpe, e a Presidente Dilma não cometeu crime. Pela democracia e pela liberdade, eu voto não.",
Zeca do Pt,PT,MS,Não,M,"Sr. Presidente, em 1964, quando esta Casa resolveu tomar o mandato do legitimamente eleito João Goulart, Tancredo Neves a este microfone se referiu aos golpistas como traidores, canalhas, canalhas e canalhas! Portanto, em homenagem a Tancredo Neves, absolutamente em defesa da democracia, do Estado de Direito dos mais pobres, dos povos indígenas, dos quilombolas e pela reforma agrária, eu voto não.",
Alfredo Nascimento,PR,AM,Sim,M,"Sr. Presidente, como sabe V.Exa., eu presido nacionalmente o Partido da República. Em uma reunião da executiva do nosso partido, realizada de forma democrática, majoritariamente o partido decidiu encaminhar o voto não. Em respeito ao meu partido, em respeito aos meus colegas Parlamentares, quero comunicar a esta Casa que renuncio ao meu mandato de Presidente Nacional do Partido da República, porque entendo o meu voto de forma diferente. O meu voto, Sr. Presidente, entendo que não pertence ao Governo, não pertence à Oposição, não pertence ao meu partido e sequer pertence a mim. O meu voto pertence ao povo do Amazonas, que me colocou na vida pública hámais de 30 anos, vida pública da qual eu me orgulho muito, e majoritariamente o povo do meu Estado do Amazonas vota pelo impedimento. Eu voto sim, Presidente.",
