codProposicao,dataVotacao,nomeProposicao
2122076,27/04/2017,PL 6787/2016
2122076,27/04/2017,PL 6787/2016
2122078,27/06/2017,MPV 759/2016 
2122078,27/06/2017,MPV 759/2016 
2122078,27/06/2017,MPV 759/2016 
2122078,27/06/2017,MPV 759/2016 
2122078,27/06/2017,MPV 759/2016 
2122082,23/05/2017,MPV 763/2016 
2122082,23/05/2017,MPV 763/2016 
2122082,23/05/2017,MPV 763/2016 
2122082,23/05/2017,MPV 763/2016 
2122119,25/05/2017,MPV 765/2016 
2122129,24/05/2017,MPV 767/2017
2123066,15/02/2017,REQ 5829/2017 => RCP 23/2016
2123843,10/05/2017,PEC 304/2017
2123843,10/05/2017,PEC 304/2017
2123843,31/05/2017,PEC 304/2017
2124451,05/04/2017,PLP 343/2017
2124451,05/04/2017,PLP 343/2017
2124451,05/04/2017,PLP 343/2017
2124451,05/04/2017,PLP 343/2017
2124451,10/04/2017,PLP 343/2017
2124451,11/04/2017,PLP 343/2017
2124451,11/04/2017,PLP 343/2017
2124451,11/04/2017,PLP 343/2017
2124451,11/04/2017,PLP 343/2017
2124451,18/04/2017,PLP 343/2017
2124451,18/04/2017,PLP 343/2017
2124451,19/04/2017,PLP 343/2017
2124451,19/04/2017,PLP 343/2017
2124451,19/04/2017,PLP 343/2017
2124451,25/04/2017,PLP 343/2017
2124451,25/04/2017,PLP 343/2017
2124451,25/04/2017,PLP 343/2017
2124451,25/04/2017,PLP 343/2017
2124451,10/05/2017,PLP 343/2017
2124451,10/05/2017,PLP 343/2017
2124451,10/05/2017,PLP 343/2017
2124451,10/05/2017,PLP 343/2017
2124451,10/05/2017,PLP 343/2017
2124707,16/05/2017,REQ 6015/2017 => PLP 100/2011
2124774,14/03/2017,REQ 6026/2017 => PL 1530/2015
2125012,23/03/2017,REQ 6053/2017 => RCP 26/2016
2125277,14/03/2017,REQ 6074/2017 => PLP 343/2017
2127233,28/06/2017,MPV 770/2017 
2127233,04/07/2017,MPV 770/2017 
2127233,04/07/2017,MPV 770/2017 
2127233,04/07/2017,MPV 770/2017 
2127235,06/06/2017,REQ 6150/2017 => PRC 190/2001
2127797,05/07/2017,MPV 771/2017 
2127797,05/07/2017,MPV 771/2017 
2127797,05/07/2017,MPV 771/2017 
2127797,05/07/2017,MPV 771/2017 
2127803,11/07/2017,MPV 772/2017 
2127803,11/07/2017,MPV 772/2017 
2127803,11/07/2017,MPV 772/2017 
2127803,11/07/2017,MPV 772/2017 
2127803,01/08/2017,MPV 772/2017 
2128869,14/08/2017,MPV 775/2017 
2128869,15/08/2017,MPV 775/2017 
2129647,18/04/2017,REQ 6281/2017 => PL 6787/2016
2129925,19/04/2017,REQ 6292/2017 => PL 6787/2016
2132524,23/08/2017,MPV 777/2017 
2132524,23/08/2017,MPV 777/2017 
2132524,23/08/2017,MPV 777/2017 
2132524,24/08/2017,MPV 777/2017 
2132524,24/08/2017,MPV 777/2017 
2132524,24/08/2017,MPV 777/2017 
2132524,24/08/2017,MPV 777/2017 
2132524,30/08/2017,MPV 777/2017 
2132524,30/08/2017,MPV 777/2017 
2132902,08/08/2017,REQ 6368/2017 => PL 3376/2015
2137734,22/08/2017,MPV 778/2017 
2139901,08/08/2017,REQ 6636/2017 => PL 7606/2017
2141401,13/06/2017,REQ 6711/2017 => PL 7626/2017
2148390,30/08/2017,PLN 17/2017 CN
2148390,31/08/2017,PLN 17/2017 CN
